TAG,NAME,PURPOSE
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
,ttf-opensans,Sans-serif typeface commissioned by Google
A,ttf-symbola,Font for symbol blocks of the Unicode Standard (TTF)
,unclutter,hides an inactive mouse.
,unrar,The RAR uncompression program
,unzip,For extracting and viewing files in .zip archives
,urlscan,Mutt and terminal url selector
,virtualbox,Powerful x86 virtualization for enterprise as well as home use
A,visual-studio-code-bin,Visual Studio Code (vscode): Editor for building and debugging modern web and cloud applications (official binary version)
,w3m,Text-based Web browser as well as pager
,wireless_tools,Tools allowing to manipulate the Wireless Extensions
,wireshark-qt,Network traffic and protocol analyzer/sniffer - Qt GUI
,wmctrl,Control your EWMH compliant window manager from command line
,wpa_supplicant,A utility providing key negotiation for WPA wireless networks
,xbindkeys,Launch shell commands with your keyboard or your mouse under X
,xcape,gives the special escape/super mappings of LARBS.
,xclip,Command line interface to the X11 clipboard
A,xcursor-breeze,Breeze cursor theme (KDE Plasma 5). This package is for usage in non-KDE Plasma desktops.
,xf86-input-synaptics,Synaptics driver for notebook touchpads
,xfce4,
,xfce4-goodies,
A,xfce4-i3-workspaces-plugin-git,A workspace switcher plugin for xfce4-panel which can be used for the i3 window manager
,xfce4-pulseaudio-plugin,Pulseaudio plugin for Xfce4 panel
,xfce4-whiskermenu-plugin,Menu for Xfce4
,xorg-server,Xorg X server
,xorg-server-xvfb,Virtual framebuffer X server
,xorg-xbacklight,enables changing screen brightness levels.
,xorg-xdpyinfo,Display information utility for X
,xorg-xev,Print contents of X events
,xorg-xinit,starts the graphical server.
,xorg-xinput,Small commandline tool to configure devices
,xorg-xlsfonts,List available X fonts
,xorg-xprop,Property displayer for X
,xorg-xwininfo,Command-line utility to print information about windows on an X server
,xsel,XSel is a command-line program for getting and setting the contents of the X selection
,xterm,X Terminal Emulator
,xwallpaper,sets the wallpaper.
,yarn,"Fast, reliable, and secure dependency management"
A,yay,Yet another yogurt. Pacman wrapper and AUR helper written in go.
,youtube-dl,A command-line program to download videos from YouTube.com and a few more sites
,zathura,Minimalistic document viewer
,zathura-djvu,DjVu support for Zathura
,zathura-pdf-mupdf,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
,zip,Compressor/archiver for creating and modifying zipfiles
A,zoom,Video Conferencing and Web Conferencing Service
,zsh,A very advanced and programmable command interpreter (shell) for UNIX
A,zsh-zplugin-git,"Flexible Zsh plugin manager with clean fpath, reports, completion management, turbo mode"
